"Name","Category","Difficulty"
"Wall Push-ups","strength","beginner"
"Knee Push-ups","strength","beginner"
"Squats","strength","beginner"
"Chair Squats","strength","beginner"
"Wall Sit","strength","beginner"
"Glute Bridge","strength","beginner"
"Plank","strength","beginner"
"Knee Plank","strength","beginner"
"Dead Bug","strength","beginner"
"Bird Dog","strength","beginner"
"Calf Raises","strength","beginner"
"Seated Leg Raises","strength","beginner"
"Standing Hip Abduction","strength","beginner"
"Standing Hip Extension","strength","beginner"
"Wall Angels","strength","beginner"
"Scapular Squeezes","strength","beginner"
"Bicep Curls (Air)","strength","beginner"
"Tricep Dips (Chair)","strength","beginner"
"Superman","strength","beginner"
"Modified Burpees","strength","beginner"
"Marching in Place","strength","beginner"
"Step-ups","strength","beginner"
"Lying Hip Abduction","strength","beginner"
"Clamshells","strength","beginner"
"Fire Hydrants","strength","beginner"
"Donkey Kicks","strength","beginner"
"Leg Raises (Lying)","strength","beginner"
"Reverse Crunches","strength","beginner"
"Crunches","strength","beginner"
"Modified Side Plank","strength","beginner"
"Push-ups","strength","intermediate"
"Wide Push-ups","strength","intermediate"
"Diamond Push-ups","strength","intermediate"
"Lunges","strength","intermediate"
"Reverse Lunges","strength","intermediate"
"Walking Lunges","strength","intermediate"
"Bulgarian Split Squats","strength","intermediate"
"Single Leg Glute Bridge","strength","intermediate"
"Side Plank","strength","intermediate"
"Plank to Down Dog","strength","intermediate"
"Mountain Climbers","strength","intermediate"
"Burpees","strength","intermediate"
"Jump Squats","strength","intermediate"
"Single Leg Calf Raises","strength","intermediate"
"Pike Push-ups","strength","intermediate"
"Dips (Between Chairs)","strength","intermediate"
"Hindu Push-ups","strength","intermediate"
"Single Leg Deadlift","strength","intermediate"
"Russian Twists","strength","intermediate"
"Bicycle Crunches","strength","intermediate"
"V-Ups","strength","intermediate"
"Plank Jacks","strength","intermediate"
"Bear Crawls","strength","intermediate"
"Crab Walks","strength","intermediate"
"Hip Thrusts","strength","intermediate"
"Single Leg Squats (Assisted)","strength","intermediate"
"Wall Handstand Push-ups","strength","intermediate"
"Dragon Flags","strength","intermediate"
"Pistol Squats (Assisted)","strength","intermediate"
"Diamond Push-ups (Elevated)","strength","intermediate"
"Archer Push-ups","strength","intermediate"
"Hindu Squats","strength","intermediate"
"Jump Lunges","strength","intermediate"
"Plank Up-Downs","strength","intermediate"
"Starfish Crunches","strength","intermediate"
"Flutter Kicks","strength","intermediate"
"Scissor Kicks","strength","intermediate"
"Hollow Body Hold","strength","intermediate"
"L-Sit (Supported)","strength","intermediate"
"One-Arm Push-ups","strength","advanced"
"Handstand Push-ups","strength","advanced"
"Pistol Squats","strength","advanced"
"Muscle-ups","strength","advanced"
"Planche (Training)","strength","advanced"
"Front Lever (Training)","strength","advanced"
"Human Flag","strength","advanced"
"Dragon Flag","strength","advanced"
"L-Sit","strength","advanced"
"Single Arm Plank","strength","advanced"
"Single Leg Plank","strength","advanced"
"Archer Pull-ups","strength","advanced"
"Weighted Pistol Squats","strength","advanced"
"Single Arm Handstand Push-ups","strength","advanced"
"90-Degree Push-ups","strength","advanced"
"One-Arm Plank","strength","advanced"
"Single Leg Glute Bridge (Weighted)","strength","advanced"
"Dragon Walk","strength","advanced"
"Shrimp Squats","strength","advanced"
"Single Arm Push-up (Elevated)","strength","advanced"
"Wall Walk Handstand","strength","advanced"
"Single Leg Romanian Deadlift (Weighted)","strength","advanced"
"Weighted Pull-ups","strength","advanced"
"Single Arm Plank Row","strength","advanced"
"Pike Handstand Push-ups","strength","advanced"
"Single Leg Box Jumps","strength","advanced"
"Weighted Dips","strength","advanced"
"Single Arm Muscle-up","strength","advanced"
"Planche Push-ups","strength","advanced"
"Front Lever Pull-ups","strength","advanced"
"Single Arm Front Lever","strength","advanced"
"Hamstring Stretch (Standing)","flexibility","beginner"
"Quadriceps Stretch (Standing)","flexibility","beginner"
"Quadriceps Stretch (Lying)","flexibility","beginner"
"Calf Stretch (Wall)","flexibility","beginner"
"Calf Stretch (Step)","flexibility","beginner"
"Hip Flexor Stretch (Lunge)","flexibility","beginner"
"Hip Flexor Stretch (Standing)","flexibility","beginner"
"IT Band Stretch","flexibility","beginner"
"Pigeon Pose","flexibility","beginner"
"Piriformis Stretch","flexibility","beginner"
"Figure-4 Stretch","flexibility","beginner"
"Shoulder Stretch (Cross Body)","flexibility","beginner"
"Shoulder Stretch (Doorway)","flexibility","beginner"
"Tricep Stretch","flexibility","beginner"
